Economic Activities,Time Period,Percentage change in the Industrial Production Index
Electricity Supply,7/1/21,-6.84
Manufacturing Industry,9/1/20,-23.76
Manufacturing Industry,9/1/21,4.55
Electricity Supply,9/1/21,-2.19
Industrial Production Index,4/1/22,26.72
Electricity Supply,11/1/21,11.90
Industrial Production Index,9/1/22,15.69
Industrial Production Index,4/1/19,-6.38
Electricity Supply,4/1/19,-1.67
Industrial Production Index,6/1/19,-10.28
Electricity Supply,9/1/19,13.10
Mining and Quarrying,2020 / 01,-4.87
Electricity Supply,5/1/20,-8.08
Manufacturing Industry,3/1/21,-10.27
Industrial Production Index,4/1/21,-24.04
Mining and Quarrying,7/1/21,11.76
Mining and Quarrying,8/1/21,6.50
Manufacturing Industry,8/1/21,4.96
Manufacturing Industry,8/1/20,-22.66
Electricity Supply,8/1/20,-1.25
Mining and Quarrying,9/1/21,7.61
Mining and Quarrying,11/1/21,10.40
Mining and Quarrying,9/1/22,14.23
Electricity Supply,2023 / 01,-3.39
Mining and Quarrying,2/1/23,2.20
Mining and Quarrying,11/1/20,-8.96
Electricity Supply,2/1/21,6.55
Industrial Production Index,3/1/21,-14.54
Mining and Quarrying,3/1/19,-1.21
Mining and Quarrying,4/1/19,-0.62
Mining and Quarrying,7/1/19,-6.88
Electricity Supply,8/1/19,10.29
Mining and Quarrying,10/1/19,-3.18
Industrial Production Index,11/1/19,-8.10
Mining and Quarrying,11/1/19,-10.84
Industrial Production Index,7/1/22,17.71
Mining and Quarrying,8/1/22,15.50
Manufacturing Industry,8/1/22,22.00
Mining and Quarrying,2022 / 01,11.45
Manufacturing Industry,12/1/22,18.50
Manufacturing Industry,4/1/20,-32.11
Mining and Quarrying,6/1/21,19.32
Electricity Supply,2019 / 01,-2.31
Industrial Production Index,7/1/20,-13.41
Mining and Quarrying,8/1/20,-7.90
Electricity Supply,9/1/20,-0.35
Electricity Supply,4/1/22,-2.04
Mining and Quarrying,2023 / 01,3.05
Manufacturing Industry,2023 / 01,19.18
Industrial Production Index,3/1/23,4.13
Mining and Quarrying,3/1/23,1.58
Electricity Supply,10/1/20,13.52
Industrial Production Index,11/1/20,-10.00
Electricity Supply,2/1/19,-2.33
Industrial Production Index,3/1/19,-5.96
Manufacturing Industry,4/1/19,-19.24
Mining and Quarrying,6/1/19,-6.82
Mining and Quarrying,8/1/19,-5.98
Industrial Production Index,9/1/19,-11.29
Industrial Production Index,10/1/19,-2.45
Mining and Quarrying,10/1/22,11.97
Electricity Supply,10/1/22,-1.83
Electricity Supply,2022 / 01,15.73
Industrial Production Index,11/1/22,8.55
Manufacturing Industry,6/1/22,29.30
